"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp126",-952666.61893479,2255114.87135162,6716.392578125,726,2374.2275390625,23.170919418335,80.8832168579102,452.457122802734,73.0226287841797,17765.3515625,40.0035591125488,"HD",6.11469300241327,3.68896842796937,-952666.618925977,2255114.87134098,0,0.0362032525689731,0.000852899986232572,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-863839.858976092,2243619.64359226,3086.7294921875,1083,2436.92431640625,22.0114498138428,94.5072021484375,32.3349075317383,73.6749877929688,4863.62890625,119.980743408203,"HD",3.47614737519873,4.78733125830679,-863839.858981255,2243619.64361083,0,0.0435210468088772,0.0949286273894516,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-873245.04532466,2231079.39512751,1045.02062988281,938,2470.76611328125,22.2364101409912,41.1375846862793,35.3621520996094,83.222541809082,2456.53125,16.4655094146729,"HD",3.56564209846291,2.80126785459496,-873245.045341687,2231079.39511162,0,0.06223107458485,0.0577719746739767,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-971476.991631926,2193458.64973323,1915.87145996094,1050,2764.84057617188,22.562068939209,88.6696014404297,413.644592285156,80.7071304321289,2456.53125,113.085754394531,"HD",6.02500713238539,4.72814641934928,-971476.991631113,2193458.64974986,0,0.0658543452800495,0.000817533584856176,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-788598.368187548,2243619.64359226,23588.0390625,69,1988.67919921875,26.5679874420166,18.6529426574707,48.985164642334,1.00412368774414,16395.345703125,64.0389404296875,"HD",3.89151748986749,4.15949134254641,-788598.368189341,2243619.64357403,0,0.0789575687152166,0.214895752104522,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-940126.370470033,2266610.09911098,3149.263671875,415,2472.0126953125,24.9143218994141,57.4117202758789,163.731384277344,18.4798774719238,6494.7744140625,861.393981933594,"HD",5.09822718425039,6.75855198621715,-940126.370472439,2266610.09911609,0,0.0560878215089719,0.00389159881098361,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-941171.391175429,2258249.93346781,348.340240478516,915,2372.19189453125,22.1264019012451,90.8506240844727,76.3443222045898,69.3237457275391,14630.2900390625,54.7071380615234,"HD",4.33525366353712,4.00199419564044,-941171.391157897,2258249.93346624,0,0.0727200954940149,0.00335839483277394,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-990287.364329062,2241529.60218147,174.170120239258,1083,2421.96166992188,20.9279003143311,64.3542633056641,113.758323669434,38.3983764648438,8283.033203125,26.9755363464355,"HD",4.7340762302698,3.2949303940396,-990287.36431986,2241529.60219287,0,0.0866958271778894,0.000378198159453054,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-876380.107440849,2276015.28545955,1915.87121582031,809,2389.66088867188,24.1932716369629,104.469329833984,191.819320678711,57.268196105957,19711.5859375,207.207000732422,"HD",5.25655389084171,5.33371829713319,-876380.107450643,2276015.28545067,0,0.0586125113967133,0.0331181857425042,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-988197.32291827,2197638.73255482,2465.17431640625,1709,2651.52563476562,18.6983337402344,87.3356018066406,132.461959838867,4.15665245056152,13576.001953125,21.4811248779297,"HD",4.88629550865074,3.06717463688818,-988197.322925729,2197638.73255715,0,0.0677898348062272,0.000566879960554735,TRUE,"clustering"
